id,name,alt_name,region,country,latitude,longitude
NO328,Porsanger,,Troms og Finnmark,NO,70.0521,24.9559
NO329,Rypefjord,,Troms og Finnmark,NO,70.6413,23.6721
NO330,Salangen,,Troms og Finnmark,NO,68.8767,17.8338
NO331,Setermoen,,Troms og Finnmark,NO,68.8610,18.3486
NO332,Sjøvegan,,Troms og Finnmark,NO,68.8736,17.8471
NO333,Skånland,,Troms og Finnmark,NO,68.5838,16.5731
NO334,Skjervøy,,Troms og Finnmark,NO,70.0338,20.9737
NO335,Sør-Varanger,,Troms og Finnmark,NO,69.7286,30.0426
NO336,Sørreisa,,Troms og Finnmark,NO,69.1470,18.1563
NO337,Storfjord,,Troms og Finnmark,NO,69.2686,19.9609
NO338,Storslett,,Troms og Finnmark,NO,69.7678,21.0247
NO339,Storsteinnes,,Troms og Finnmark,NO,69.2408,19.2344
NO340,Tana,,Troms og Finnmark,NO,70.1998,28.1849
NO341,Torsken,,Troms og Finnmark,NO,69.3618,17.0538
NO342,Tranøy,,Troms og Finnmark,NO,69.1702,17.7348
NO343,Tromsø,,Troms og Finnmark,NO,69.6496,18.9570
NO344,Vadsø,,Troms og Finnmark,NO,70.0741,29.7492
NO345,Vardø,,Troms og Finnmark,NO,70.3704,31.1087
NO346,Å i Åfjord,,Trøndelag,NO,63.9607,10.2247
NO347,Åfjord,,Trøndelag,NO,63.9620,10.2259
NO348,Agdenes,,Trøndelag,NO,63.5058,9.8262
NO349,Berkåk,,Trøndelag,NO,62.8250,10.0118
NO350,Bjugn,,Trøndelag,NO,63.7652,9.8094
NO351,Botngård,,Trøndelag,NO,63.7648,9.8086
NO352,Brekstad,,Trøndelag,NO,63.6870,9.6654
NO353,Fillan,,Trøndelag,NO,63.6064,8.9696
NO354,Flatanger,,Trøndelag,NO,64.4128,11.0329
NO355,Fosnes,,Trøndelag,NO,64.6591,11.2654
NO356,Frosta,,Trøndelag,NO,63.5891,10.7423
NO357,Frøya,,Trøndelag,NO,63.7301,8.8243
NO358,Grong,,Trøndelag,NO,64.4640,12.3111
NO359,Hemne,,Trøndelag,NO,63.2910,9.0889
NO360,Hitra,,Trøndelag,NO,63.5453,8.7803
NO361,Holtålen,,Trøndelag,NO,62.8432,11.2928
NO362,Hommelvik,,Trøndelag,NO,63.4108,10.7942
NO363,Høylandet,,Trøndelag,NO,64.6276,12.3004
NO364,Inderøy,,Trøndelag,NO,63.8783,11.2842
NO365,Indre Fosen,,Trøndelag,NO,63.5890,9.9585
NO366,Klæbu,,Trøndelag,NO,63.3006,10.4819
NO367,Kolvereid,,Trøndelag,NO,64.8655,11.6047
NO368,Kyrksæterøra,,Trøndelag,NO,63.2906,9.0891
NO369,Lauvsnes,,Trøndelag,NO,64.5006,10.8940
NO370,Leka,,Trøndelag,NO,65.0924,11.7051
NO371,Levanger,,Trøndelag,NO,63.7459,11.2999
NO372,Lierne,,Trøndelag,NO,64.4641,13.5925
NO373,Lundamo,,Trøndelag,NO,63.1522,10.2856
NO374,Malm,,Trøndelag,NO,64.0753,11.2240
NO375,Malvik,,Trøndelag,NO,63.4106,10.7938
NO376,Meldal,,Trøndelag,NO,63.0460,9.7109
NO377,Melhus,,Trøndelag,NO,63.2876,10.2769
NO378,Meråker,,Trøndelag,NO,63.4142,11.7456
NO379,Midtre Gauldal,,Trøndelag,NO,63.0390,10.2870
