id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
AB195,Delia,,Alberta,CA,51.6306,-112.374,ardac,776.5,False
AB196,Dene Tha',,Alberta,CA,58.5149,-117.065,ardac,805.6,False
AB197,Denwood,,Alberta,CA,52.8176,-110.891,ardac,909.0,False
AB198,Derwent,,Alberta,CA,53.6545,-110.967,ardac,937.8,False
AB199,Devon,,Alberta,CA,53.3613,-113.725,ardac,762.7,False
AB200,Devonshire Meadows,,Alberta,CA,53.3888,-113.83,ardac,758.3,False
AB201,Dewberry,,Alberta,CA,53.5881,-110.525,ardac,961.4,False
AB202,Diamond City,,Alberta,CA,49.7956,-112.839,ardac,711.2,False
AB203,Dickson,,Alberta,CA,52.0581,-114.308,ardac,664.7,False
AB204,Didsbury,,Alberta,CA,51.6594,-114.137,ardac,660.8,False
AB205,Dixonville,,Alberta,CA,56.5374,-117.672,ardac,713.8,False
AB206,Dogpound,,Alberta,CA,51.4567,-114.397,ardac,637.1,False
AB207,Donalda,,Alberta,CA,52.5836,-112.574,ardac,794.6,False
AB208,Donnelly,,Alberta,CA,55.7289,-117.105,ardac,705.8,False
AB209,Dorothy,,Alberta,CA,51.2792,-112.325,ardac,771.8,False
AB210,Drayton Valley,,Alberta,CA,53.2215,-114.974,ardac,684.1,False
AB211,Driftpile,,Alberta,CA,55.3428,-115.788,ardac,766.8,False
AB212,Drumheller,,Alberta,CA,51.4644,-112.719,ardac,749.2,False
AB213,Duchess,,Alberta,CA,50.7311,-111.906,ardac,791.9,False
AB214,Duffield,,Alberta,CA,53.5281,-114.344,ardac,736.9,False
AB215,Duhamel,,Alberta,CA,52.9156,-112.963,ardac,784.8,False
AB216,Duncan's,,Alberta,CA,56.1208,-117.861,ardac,681.8,False
AB217,Dunmore,,Alberta,CA,49.9703,-110.584,ardac,873.8,False
AB218,Durward,,Alberta,CA,50.2956,-113.713,ardac,657.4,False
AB219,Duvernay,,Alberta,CA,53.7861,-111.692,ardac,901.5,False
AB220,Eaglesham,,Alberta,CA,55.7825,-117.883,ardac,664.3,False
AB221,East Coulee,,Alberta,CA,51.3436,-112.498,ardac,761.4,False
AB222,East Prairie Metis Settlement,,Alberta,CA,55.1891,-116.27,ardac,732.6,False
AB223,Eastview Acres,,Alberta,CA,49.7895,-113.016,ardac,698.5,False
AB224,Eckville,,Alberta,CA,52.36,-114.367,ardac,674.1,False
AB225,Edberg,,Alberta,CA,52.7847,-112.789,ardac,789.6,False
AB226,Edgerton,,Alberta,CA,52.7586,-110.458,ardac,934.4,False
AB227,Edmonton,,Alberta,CA,53.5358,-113.494,ardac,785.5,False
AB228,Edson,,Alberta,CA,53.5866,-116.436,ardac,629.0,False
AB229,Egremont,,Alberta,CA,54.0383,-113.126,ardac,833.3,False
AB230,Eldoes Trailer Park,,Alberta,CA,55.1696,-118.744,ardac,588.7,False
AB231,Elizabeth Metis Settlement,,Alberta,CA,54.217,-110.092,ardac,1014.9,False
AB232,Elk Point,,Alberta,CA,53.9011,-110.901,ardac,953.0,False
AB233,Elkwater,,Alberta,CA,49.6608,-110.282,ardac,892.0,False
AB234,Ellscott,,Alberta,CA,54.5031,-112.901,ardac,872.2,False
AB235,Elmworth,,Alberta,CA,55.0539,-119.616,ardac,533.5,False
AB236,Elnora,,Alberta,CA,51.9936,-113.201,ardac,732.9,False
AB237,Empress,,Alberta,CA,50.9543,-110.008,ardac,926.8,False
AB238,Enchant,,Alberta,CA,50.17,-112.422,ardac,745.6,False
AB239,Endiang,,Alberta,CA,51.9539,-112.158,ardac,799.6,False
AB240,Enilda,,Alberta,CA,55.4169,-116.311,ardac,740.4,False
AB241,Enoch,,Alberta,CA,53.4997,-113.761,ardac,768.4,False
AB242,Ensign,,Alberta,CA,50.475,-113.432,ardac,680.9,False
AB243,Entrance,,Alberta,CA,53.3748,-117.684,ardac,549.2,False
AB244,Entwistle,,Alberta,CA,53.5944,-114.996,ardac,704.8,False
AB245,Ermineskin,,Alberta,CA,52.836,-113.454,ardac,751.6,False
AB246,Erskine,,Alberta,CA,52.3211,-112.88,ardac,765.2,False
AB247,Etzikom,,Alberta,CA,49.4769,-111.107,ardac,830.6,False
AB248,Evansburg,,Alberta,CA,53.6004,-115.017,ardac,704.1,False
AB249,Exshaw,,Alberta,CA,51.0635,-115.159,ardac,574.7,False
AB250,Fabyan,,Alberta,CA,52.8819,-110.994,ardac,904.8,False
AB251,Fairview,,Alberta,CA,56.0672,-118.384,ardac,651.0,False
AB252,Falher,,Alberta,CA,55.7372,-117.201,ardac,700.7,False
AB253,Fallis,,Alberta,CA,53.5853,-114.641,ardac,723.7,False
AB254,Faust,,Alberta,CA,55.3158,-115.628,ardac,773.3,False
AB255,Fawcett,,Alberta,CA,54.5394,-114.096,ardac,811.9,False
AB256,Federal,,Alberta,CA,52.1117,-111.572,ardac,842.5,False
AB257,Ferintosh,,Alberta,CA,52.7658,-112.972,ardac,777.6,False
AB258,Ferrier Acres,,Alberta,CA,52.3649,-115.061,ardac,632.3,False
AB259,Fincastle,,Alberta,CA,49.8083,-112.002,ardac,771.1,False
AB260,Fitzgerald,,Alberta,CA,59.8617,-111.606,ardac,732.9,False
AB261,Flatbush,,Alberta,CA,54.6892,-114.156,ardac,817.9,False
AB262,Fleet,,Alberta,CA,52.1533,-111.73,ardac,833.5,False
AB263,Fleming Park,,Alberta,CA,53.4432,-113.72,ardac,767.6,False
AB264,Flyingshot Lake,,Alberta,CA,55.1421,-118.863,ardac,580.6,False
AB265,Foremost,,Alberta,CA,49.4764,-111.447,ardac,806.2,False
AB266,Forestburg,,Alberta,CA,52.5839,-112.064,ardac,826.6,False
AB267,Forshee,,Alberta,CA,52.558,-114.145,ardac,696.8,False
AB268,Fort Assiniboine,,Alberta,CA,54.3342,-114.775,ardac,763.7,False
AB269,Fort Chipewyan,,Alberta,CA,58.7144,-111.158,ardac,848.3,False
AB270,Fort Kent,,Alberta,CA,54.3108,-110.604,ardac,990.0,False
AB271,Fort MacKay,,Alberta,CA,57.1869,-111.636,ardac,973.9,False
AB272,Fort Macleod,,Alberta,CA,49.7231,-113.404,ardac,670.0,False
AB273,Fort McMurray,,Alberta,CA,56.7275,-111.387,ardac,977.8,False
AB274,Fort Saskatchewan,,Alberta,CA,53.7002,-113.225,ardac,809.6,False
AB275,Fort Vermilion,,Alberta,CA,58.3893,-116.007,ardac,859.2,False
AB276,Fox Creek,,Alberta,CA,54.4043,-116.81,ardac,656.5,False
AB277,Fox Lake,,Alberta,CA,58.4705,-114.533,ardac,926.0,False
AB278,Frank,,Alberta,CA,49.6027,-114.406,ardac,596.7,False
AB279,Frog Lake,,Alberta,CA,53.8721,-110.391,ardac,981.7,False
AB280,Gadsby,,Alberta,CA,52.2968,-112.356,ardac,797.7,False
AB281,Gainford,,Alberta,CA,53.5847,-114.785,ardac,715.7,False
AB282,Galahad,,Alberta,CA,52.5142,-111.931,ardac,832.4,False
AB283,Garden Creek,,Alberta,CA,58.7047,-113.886,ardac,889.9,False
AB284,Garden Grove Estates,,Alberta,CA,53.4836,-113.947,ardac,756.9,False
AB285,Gem,,Alberta,CA,50.9506,-112.189,ardac,775.5,False
AB286,Ghost Lake,,Alberta,CA,51.2066,-114.764,ardac,605.2,False
AB287,Gibbons,,Alberta,CA,53.8297,-113.328,ardac,810.6,False
AB288,Gift Lake,,Alberta,CA,55.8825,-115.813,ardac,785.8,False
AB289,Girouxville,,Alberta,CA,55.7536,-117.339,ardac,693.5,False
AB290,Gleichen,,Alberta,CA,50.8661,-113.055,ardac,714.3,False
AB291,Glen Leslie,,Alberta,CA,55.1994,-118.487,ardac,604.8,False
AB292,Glendon,,Alberta,CA,54.2525,-111.16,ardac,955.5,False
AB293,Glenevis,,Alberta,CA,53.7897,-114.517,ardac,742.6,False
AB294,Glenwood,,Alberta,CA,49.3659,-113.515,ardac,656.1,False
AB295,Glory Hills,,Alberta,CA,53.6828,-113.971,ardac,766.4,False
AB296,Golden Days,,Alberta,CA,53.0514,-114.053,ardac,727.1,False
AB297,Goodfish Lake,,Alberta,CA,54.2975,-111.806,ardac,921.2,False
AB298,Gordondale,,Alberta,CA,55.84,-119.54,ardac,577.5,False
AB299,Grande Cache,,Alberta,CA,53.8881,-119.119,ardac,502.4,False
AB300,Grande Prairie,,Alberta,CA,55.1708,-118.796,ardac,585.7,False
AB301,Grandview,,Alberta,CA,52.9879,-114.066,ardac,723.0,False
AB302,Grantham,,Alberta,CA,50.0687,-112.009,ardac,773.4,False
AB303,Granum,,Alberta,CA,49.8711,-113.508,ardac,664.5,False
AB304,Grassland,,Alberta,CA,54.82,-112.687,ardac,902.5,False
AB305,Grassy Lake,,Alberta,CA,49.8253,-111.698,ardac,793.0,False
AB306,Green Acre Estates,,Alberta,CA,53.4979,-113.941,ardac,758.0,False
AB307,Green Court,,Alberta,CA,54.0078,-115.239,ardac,718.4,False
AB308,Gregoire Lake Estates,,Alberta,CA,56.4669,-111.194,ardac,978.3,False
AB309,Grimshaw,,Alberta,CA,56.1886,-117.606,ardac,699.0,False
AB310,Grouard,,Alberta,CA,55.5203,-116.161,ardac,752.7,False
AB311,Grouard Mission,,Alberta,CA,55.5422,-116.154,ardac,753.8,False
AB312,Grovedale,,Alberta,CA,55.0278,-118.859,ardac,576.3,False
AB313,Gull Lake,,Alberta,CA,52.4622,-113.941,ardac,704.8,False
AB314,Gunn,,Alberta,CA,53.7305,-114.348,ardac,748.3,False
AB315,Guy,,Alberta,CA,55.5489,-117.12,ardac,697.8,False
AB316,Gwynne,,Alberta,CA,52.9867,-113.199,ardac,774.0,False
AB317,Hairy Hill,,Alberta,CA,53.7633,-111.979,ardac,883.8,False
AB318,Half Moon Bay,,Alberta,CA,52.345,-114.172,ardac,685.4,False
AB319,Half Moon Estates,,Alberta,CA,53.4615,-113.084,ardac,804.7,False
AB320,Halkirk,,Alberta,CA,52.2825,-112.154,ardac,810.2,False
AB321,Hanna,,Alberta,CA,51.6458,-111.925,ardac,806.8,False
AB322,Hardisty,,Alberta,CA,52.675,-111.304,ardac,877.9,False
AB323,Hartleyville,,Alberta,CA,49.3644,-113.609,ardac,649.3,False
AB324,Harvie Heights,,Alberta,CA,51.13,-115.376,ardac,562.0,False
AB325,Hawk Hills,,Alberta,CA,57.2555,-117.413,ardac,753.0,False
AB326,Hay Lakes,,Alberta,CA,53.1967,-113.057,ardac,792.7,False
AB327,Hayfield,,Alberta,CA,55.1708,-119.615,ardac,538.8,False
AB328,Haynes,,Alberta,CA,52.3175,-113.392,ardac,732.8,False
AB329,Hays,,Alberta,CA,50.0981,-111.794,ardac,789.0,False
AB330,Hayter,,Alberta,CA,52.3564,-110.108,ardac,945.0,False
AB331,Hazell,,Alberta,CA,49.63,-114.664,ardac,578.7,False
AB332,Heart Lake,,Alberta,CA,54.9832,-111.56,ardac,971.9,False
AB333,Heinsburg,,Alberta,CA,53.7675,-110.522,ardac,969.3,False
AB334,Heisler,,Alberta,CA,52.6711,-112.224,ardac,819.9,False
AB335,Heritage Woods,,Alberta,CA,51.0555,-114.241,ardac,636.6,False
AB336,Herronton,,Alberta,CA,50.6247,-113.439,ardac,684.1,False
AB337,Hesketh,,Alberta,CA,51.4703,-112.975,ardac,732.2,False
AB338,Hewitt Estates,,Alberta,CA,53.8073,-113.397,ardac,805.5,False
AB339,High Level,,Alberta,CA,58.516,-117.138,ardac,801.7,False
AB340,High Point Estates,,Alberta,CA,51.0309,-113.781,ardac,667.4,False
AB341,High Prairie,,Alberta,CA,55.4347,-116.488,ardac,730.5,False
AB342,High River,,Alberta,CA,50.5797,-113.874,ardac,653.1,False
AB343,Hilda,,Alberta,CA,50.4797,-110.033,ardac,917.8,False
AB344,Hill Spring,,Alberta,CA,49.2931,-113.622,ardac,647.2,False
AB345,Hillcrest Mines,,Alberta,CA,49.5689,-114.377,ardac,598.4,False
AB346,Hilliard,,Alberta,CA,53.64,-112.482,ardac,848.6,False
AB347,Hines Creek,,Alberta,CA,56.2486,-118.603,ardac,649.4,False
AB348,Hinton,,Alberta,CA,53.4,-117.572,ardac,556.7,False
AB349,Hobbema,,Alberta,CA,52.8194,-113.461,ardac,750.4,False
AB350,Holden,,Alberta,CA,53.2333,-112.234,ardac,843.2,False
AB351,Hondo,,Alberta,CA,55.0716,-114.039,ardac,844.8,False
AB352,Horse Lake,,Alberta,CA,54.8229,-119.352,ardac,539.4,False
AB353,Horseshoe Bay,,Alberta,CA,54.1262,-111.364,ardac,937.4,False
AB354,Hu Haven,,Alberta,CA,53.7709,-113.205,ardac,814.4,False
AB355,Hubbles Lake,,Alberta,CA,53.5593,-114.088,ardac,753.0,False
AB356,Hughenden,,Alberta,CA,52.5106,-110.967,ardac,893.9,False
